"DATE","TIME PERIOD","Long-term interest rate for convergence purposes - Euro (IRS.M.IT.L.L40.CI.0000.EUR.N.Z)"
"1991-03-31","1991Mar","13.77"
"1991-04-30","1991Apr","13.43"
"1991-05-31","1991May","13.06"
"1991-06-30","1991Jun","13.09"
"1991-07-31","1991Jul","13.34"
"1991-08-31","1991Aug","13.45"
"1991-09-30","1991Sep","13.02"
"1991-10-31","1991Oct","12.79"
"1991-11-30","1991Nov","12.91"
"1991-12-31","1991Dec","12.95"
"1992-01-31","1992Jan","12.68"
"1992-02-29","1992Feb","12.61"
"1992-03-31","1992Mar","12.58"
"1992-04-30","1992Apr","12.69"
"1992-05-31","1992May","12.58"
"1992-06-30","1992Jun","13.10"
"1992-07-31","1992Jul","13.63"
"1992-08-31","1992Aug","13.68"
"1992-09-30","1992Sep","14.11"
"1992-10-31","1992Oct","14.42"
"1992-11-30","1992Nov","13.47"
"1992-12-31","1992Dec","13.66"
"1993-01-31","1993Jan","13.43"
"1993-02-28","1993Feb","13.06"
"1993-03-31","1993Mar","12.90"
"1993-04-30","1993Apr","13.11"
"1993-05-31","1993May","12.46"
"1993-06-30","1993Jun","11.67"
"1993-07-31","1993Jul","11.10"
"1993-08-31","1993Aug","9.76"
"1993-09-30","1993Sep","9.47"
"1993-10-31","1993Oct","9.02"
"1993-11-30","1993Nov","9.33"
"1993-12-31","1993Dec","8.93"
"1994-01-31","1994Jan","8.67"
"1994-02-28","1994Feb","8.77"
"1994-03-31","1994Mar","9.45"
"1994-04-30","1994Apr","9.05"
"1994-05-31","1994May","9.37"
"1994-06-30","1994Jun","10.48"
"1994-07-31","1994Jul","10.77"
"1994-08-31","1994Aug","11.46"
"1994-09-30","1994Sep","11.94"
"1994-10-31","1994Oct","12.07"
"1994-11-30","1994Nov","12.02"
"1994-12-31","1994Dec","12.20"
"1995-01-31","1995Jan","12.37"
"1995-02-28","1995Feb","12.39"
"1995-03-31","1995Mar","13.45"
"1995-04-30","1995Apr","13.41"
"1995-05-31","1995May","12.30"
"1995-06-30","1995Jun","12.38"
"1995-07-31","1995Jul","12.21"
"1995-08-31","1995Aug","11.66"
"1995-09-30","1995Sep","11.54"
"1995-10-31","1995Oct","11.96"
"1995-11-30","1995Nov","11.63"
"1995-12-31","1995Dec","11.17"
"1996-01-31","1996Jan","10.43"
"1996-02-29","1996Feb","10.52"
"1996-03-31","1996Mar","10.69"
"1996-04-30","1996Apr","10.34"
"1996-05-31","1996May","9.70"
"1996-06-30","1996Jun","9.57"
"1996-07-31","1996Jul","9.43"
"1996-08-31","1996Aug","9.48"
"1996-09-30","1996Sep","9.17"
"1996-10-31","1996Oct","8.23"
"1996-11-30","1996Nov","7.69"
"1996-12-31","1996Dec","7.57"
"1997-01-31","1997Jan","7.38"
"1997-02-28","1997Feb","7.36"
"1997-03-31","1997Mar","7.87"
"1997-04-30","1997Apr","7.74"
"1997-05-31","1997May","7.32"
"1997-06-30","1997Jun","7.07"
"1997-07-31","1997Jul","6.52"
"1997-08-31","1997Aug","6.66"
"1997-09-30","1997Sep","6.36"
"1997-10-31","1997Oct","6.20"
"1997-11-30","1997Nov","6.13"
"1997-12-31","1997Dec","5.74"
"1998-01-31","1998Jan","5.43"
"1998-02-28","1998Feb","5.38"
"1998-03-31","1998Mar","5.20"
"1998-04-30","1998Apr","5.15"
"1998-05-31","1998May","5.21"
"1998-06-30","1998Jun","5.08"
"1998-07-31","1998Jul","4.97"
"1998-08-31","1998Aug","4.79"
"1998-09-30","1998Sep","4.53"
"1998-10-31","1998Oct","4.49"
"1998-11-30","1998Nov","4.38"
"1998-12-31","1998Dec","4.00"
"1999-01-31","1999Jan","3.92"
"1999-02-28","1999Feb","4.05"
"1999-03-31","1999Mar","4.27"
"1999-04-30","1999Apr","4.11"
"1999-05-31","1999May","4.28"
"1999-06-30","1999Jun","4.62"
"1999-07-31","1999Jul","4.94"
"1999-08-31","1999Aug","5.13"
"1999-09-30","1999Sep","5.28"
"1999-10-31","1999Oct","5.52"
"1999-11-30","1999Nov","5.25"
"1999-12-31","1999Dec","5.36"
"2000-01-31","2000Jan","5.75"
"2000-02-29","2000Feb","5.73"
"2000-03-31","2000Mar","5.58"
"2000-04-30","2000Apr","5.47"
"2000-05-31","2000May","5.67"
"2000-06-30","2000Jun","5.51"
"2000-07-31","2000Jul","5.59"
"2000-08-31","2000Aug","5.56"
"2000-09-30","2000Sep","5.63"
"2000-10-31","2000Oct","5.58"
"2000-11-30","2000Nov","5.55"
"2000-12-31","2000Dec","5.30"
"2001-01-31","2001Jan","5.18"
"2001-02-28","2001Feb","5.18"
"2001-03-31","2001Mar","5.13"
